範囲,種類,論点名,答え
1.機関,条文番号,株主有限責任,104条
1.機関,条文番号,機関設計の自由,326条2項
1.機関,条文番号,機関設計自由の原則の例外,"327条、328条"
1.機関,条文番号,大会社の機関設計,328条
1.機関,条文番号,公開会社である監査役会設置会社の社外取締役の設置強制,327条の2
1.機関,条文番号,所有と経営の分離,"326条1項（非公開会社の場合は331条2項本文も可能）"
1.機関,条文番号,株主総会,295条〜
1.機関,条文番号,株主招集通知,299条
1.機関,条文番号,株主提案権（議題提案権・303条、議案提案権・304条、議案の要領の通知請求権・305条）,303条〜305条
1.機関,条文番号,議決権,308条
1.機関,条文番号,一株一議決権の原則,308条1項
1.機関,条文番号,相互保有株式,308条1項本文かっこ書
1.機関,条文番号,議決権の代理行使,310条
1.機関,条文番号,書面投票・電子投票,"298条1項3号4号、311条、312条"
1.機関,条文番号,議決権の不統一行使,313条
1.機関,条文番号,株主総会決議の省略（cf. 取締役会決議の省略: cf. 370条）,319条
1.機関,条文番号,利益供与,120条
1.機関,条文番号,利益供与の刑事罰,970条
1.機関,条文番号,取締役等の説明義務,314条
1.機関,条文番号,株主総会の特別決議,309条2項
1.機関,条文番号,取締役会設置会社の株主総会は議題以外決議できない,309条5項
1.機関,条文番号,総会決議取消の訴え,831条1項
1.機関,条文番号,裁量棄却,831条2項
1.機関,条文番号,総会決議不存在確認の訴え,830条1項
1.機関,条文番号,総会決議無効確認の訴え,830条2項
1.機関,条文番号,総会決議取消の訴えの容認判決の効力,"838条（対世効）、839条参照（将来効阻止）"
1.機関,条文番号,種類株主に損害を及ぼすおそれ,"322条、324条2項"
1.機関,条文番号,取締役の選任,"329条1項、341条"
1.機関,条文番号,累積投票による取締役選任,342条
1.機関,条文番号,取締役（役員）の解任 とくれば,"339条、854条"
1.機関,条文番号,取締役会非設置会社の業務執行の意思決定,348条1項2項
1.機関,条文番号,取締役会非設置会社の業務執行,348条1項
1.機関,条文番号,取締役会非設置会社の代表権,349条
1.機関,条文番号,取締役会非設置会社の全取締役での意思決定,348条3項
1.機関,条文番号,取締役会設置会社の業務執行の意思決定,362条2項1号
1.機関,条文番号,取締役会設置会社の業務執行,363条1項1号
1.機関,条文番号,取締役会設置会社の代表権,"349条1項ただし書き、4項"
1.機関,条文番号,取締役会の専決事項,362条4項
1.機関,条文番号,包括的不可制限的代表権,349条4項5項
1.機関,条文番号,取締役会の招集通知,368条
1.機関,条文番号,特別利害関係取締役（cf. 特別利害関係株主: 831条1項3号）,369条2項
1.機関,条文番号,役会議事録に異議をとどめないものは賛成したものと推定,369条5項
1.機関,条文番号,取締役会決議の省略（cf. 株主総会決議の省略: cf. 319条）,370条
1.機関,条文番号,特別取締役による取締役会決議,373条
1.機関,条文番号,監査役の取締役会への出席義務・意見陳述義務,383条1項
1.機関,条文番号,代表取締役（第3かっこ書）,47条1項
1.機関,条文番号,取締役会設置会社の業務執行権者,363条
1.機関,条文番号,代表権の包括的不可制限性,349条4項5項
1.機関,条文番号,「重要な財産の処分・譲受け」,362条4項1号
1.機関,条文番号,「多額の借財」,362条4項2号
1.機関,条文番号,代理権の濫用,民法107条
1.機関,条文番号,表見代表取締役,354条
1.機関,条文番号,「登記」とくれば,"908条、911条3項"
1.機関,条文番号,変更登記,915条
1.機関,条文番号,支配人の登記,918条
